,Slogan,SlogansToList,IndexEncoded
150,Affordable durability,"['Affordable', 'durability']","[216, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
151,Designed to work as hard as you,"['Designed', 'to', 'work', 'as', 'hard', 'as', 'you']","[13916, 13916, 13809, 13916, 5600, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
152,Red Kap Done right,"['Red', 'Kap', 'Done', 'right']","[10007, 13916, 13916, 10400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
153,Switch your brand on,"['Switch', 'your', 'brand', 'on']","[12204, 13916, 1435, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
154,Show the world how smart you are,"['Show', 'the', 'world', 'how', 'smart', 'you', 'are']","[11100, 13916, 13820, 13916, 11345, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
155,Liz As delicate as a caress,"['Liz', 'As', 'delicate', 'as', 'a', 'caress']","[13916, 13916, 3237, 13916, 13916, 1786, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
156,Your not so secret weapon,"['Your', 'not', 'so', 'secret', 'weapon']","[13916, 13916, 13916, 10851, 13609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
157,The one and only Wonderbra,"['The', 'one', 'and', 'only', 'Wonderbra']","[13916, 8418, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
158,Next to myself I like BVD best,"['Next', 'to', 'myself', 'I', 'like', 'BVD', 'best']","[13916, 13916, 13916, 13916, 7099, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
159,Triumph has the bra for the way you are,"['Triumph', 'has', 'the', 'bra', 'for', 'the', 'way', 'you', 'are']","[12831, 13916, 13916, 1421, 13916, 13916, 13601, 13916, 13916, 0, 0, 0, 0, 0, 0, 0]"
160,Arktur Classic for men,"['Arktur', 'Classic', 'for', 'men']","[13916, 2158, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
161,Playtex Real solutions for today's women,"['Playtex', 'Real', 'solutions', 'for', ""today's"", 'women']","[13916, 9906, 11474, 13916, 13916, 13788, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
162,Men don't want to look at naked men,"['Men', ""don't"", 'want', 'to', 'look', 'at', 'naked', 'men']","[13916, 13916, 13546, 13916, 7215, 13916, 8060, 13916, 0, 0, 0, 0, 0, 0, 0, 0]"
163,Blaupunkt The advantage in your car,"['Blaupunkt', 'The', 'advantage', 'in', 'your', 'car']","[13916, 13916, 181, 13916, 13916, 1767, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
164,Kenwood Listen to the Future,"['Kenwood', 'Listen', 'to', 'the', 'Future']","[13916, 7145, 13916, 13916, 5041, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
165,Rockford Fosgate Car audio for fanatics,"['Rockford', 'Fosgate', 'Car', 'audio', 'for', 'fanatics']","[13916, 13916, 1767, 736, 13916, 4466, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
166,Volfenhag A German Concept,"['Volfenhag', 'A', 'German', 'Concept']","[13916, 13916, 13916, 2487, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
167,Kicker Fuel for Livin Loud,"['Kicker', 'Fuel', 'for', 'Livin', 'Loud']","[6801, 5000, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
168,Not just oil Pennzoil,"['Not', 'just', 'oil', 'Pennzoil']","[13916, 13916, 8399, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
169,Havoline Add More Life to Your Car,"['Havoline', 'Add', 'More', 'Life', 'to', 'Your', 'Car']","[13916, 124, 13916, 7073, 13916, 13916, 1767, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
170,Mobil 1 The oil that's changing oil,"['Mobil', '1', 'The', 'oil', ""that's"", 'changing', 'oil']","[13916, 13916, 13916, 8399, 13916, 13916, 8399, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
171,Unlike any other,"['Unlike', 'any', 'other']","[13916, 13916, 8509, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
172,Mercedes Benz The Future of the Automobile,"['Mercedes', 'Benz', 'The', 'Future', 'of', 'the', 'Automobile']","[13916, 13916, 13916, 5041, 13916, 13916, 762, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
173,Engineered to move the human spirit,"['Engineered', 'to', 'move', 'the', 'human', 'spirit']","[13916, 13916, 7962, 13916, 5982, 11608, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
174,The Power of Dreams,"['The', 'Power', 'of', 'Dreams']","[13916, 9325, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
175,It must be love,"['It', 'must', 'be', 'love']","[13916, 8024, 987, 7246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
176,Honda First man then machine,"['Honda', 'First', 'man', 'then', 'machine']","[13916, 4662, 7389, 13916, 7312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
177,Technology you can enjoy,"['Technology', 'you', 'can', 'enjoy']","[12365, 13916, 1717, 4120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
178,The True Definition of Luxury Yours,"['The', 'True', 'Definition', 'of', 'Luxury', 'Yours']","[13916, 13916, 3213, 13916, 7298, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
179,Acura Precision Crafted Performance,"['Acura', 'Precision', 'Crafted', 'Performance']","[13916, 9354, 13916, 8907, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
180,Driven by passion FIAT,"['Driven', 'by', 'passion', 'FIAT']","[13916, 13916, 8760, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
181,Alfa Romeo Beauty is not enough,"['Alfa', 'Romeo', 'Beauty', 'is', 'not', 'enough']","[13916, 13916, 1011, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
182,Power for your control,"['Power', 'for', 'your', 'control']","[9325, 13916, 13916, 2673, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
183,Volvo For life,"['Volvo', 'For', 'life']","[13916, 13916, 7073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
184,Subaru Think Feel Drive,"['Subaru', 'Think', 'Feel', 'Drive']","[13916, 12495, 4543, 3814, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
185,Driven By What's Inside,"['Driven', 'By', ""What's"", 'Inside']","[13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
186,When You Get It You Get It,"['When', 'You', 'Get', 'It', 'You', 'Get', 'It']","[13916, 13916, 5167, 13916, 13916, 5167, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
187,The Beauty of All Wheel Drive,"['The', 'Beauty', 'of', 'All', 'Wheel', 'Drive']","[13916, 1011, 13916, 13916, 13662, 3814, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
188,Ford Feel the difference,"['Ford', 'Feel', 'the', 'difference']","[4832, 4543, 13916, 3447, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
189,Ford Bold moves,"['Ford', 'Bold', 'moves']","[4832, 1314, 7962, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
190,Built for life in Canada,"['Built', 'for', 'life', 'in', 'Canada']","[13916, 13916, 7073, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
191,Built for the road ahead,"['Built', 'for', 'the', 'road', 'ahead']","[13916, 13916, 13916, 10438, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
192,Ford Designed for living Engineered to last,"['Ford', 'Designed', 'for', 'living', 'Engineered', 'to', 'last']","[4832, 13916, 13916, 13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
193,Have you driven a Ford lately,"['Have', 'you', 'driven', 'a', 'Ford', 'lately']","[5642, 13916, 13916, 13916, 4832, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
194,Infiniti Accelerating the Future,"['Infiniti', 'Accelerating', 'the', 'Future']","[13916, 13916, 13916, 5041, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
195,Drive happy,"['Drive', 'happy']","[3814, 5596, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
196,Britain's leading car hypermarket,"[""Britain's"", 'leading', 'car', 'hypermarket']","[13916, 13916, 1767, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
197,Driven to exceed expectations,"['Driven', 'to', 'exceed', 'expectations']","[13916, 13916, 4280, 4338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
198,Yes we make it easy,"['Yes', 'we', 'make', 'it', 'easy']","[13916, 13916, 7366, 13916, 3919, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
199,Your family car store,"['Your', 'family', 'car', 'store']","[13916, 4461, 1767, 11874, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
200,Enjoy car shopping,"['Enjoy', 'car', 'shopping']","[4120, 1767, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
201,As individual as you are,"['As', 'individual', 'as', 'you', 'are']","[13916, 6299, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
202,Arnold Clark It's about you,"['Arnold', 'Clark', ""It's"", 'about', 'you']","[13916, 13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
203,Promises delivered,"['Promises', 'delivered']","[13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
204,Keeping you on the move,"['Keeping', 'you', 'on', 'the', 'move']","[13916, 13916, 13916, 13916, 7962, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
205,Driven by you,"['Driven', 'by', 'you']","[13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
206,Believe in nice,"['Believe', 'in', 'nice']","[1051, 13916, 8178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
207,The best deals on four wheels,"['The', 'best', 'deals', 'on', 'four', 'wheels']","[13916, 13916, 3117, 13916, 4899, 13662, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
208,The hassle free way to buy a car,"['The', 'hassle', 'free', 'way', 'to', 'buy', 'a', 'car']","[13916, 5628, 4930, 13601, 13916, 1655, 13916, 1767, 0, 0, 0, 0, 0, 0, 0, 0]"
209,Drive what's possible,"['Drive', ""what's"", 'possible']","[3814, 13916, 9285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
210,CarMax Start here,"['CarMax', 'Start', 'here']","[13916, 11755, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
211,The way car buying should be,"['The', 'way', 'car', 'buying', 'should', 'be']","[13916, 13601, 1767, 13916, 13916, 987, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
212,Cars you love at prices you can not resist,"['Cars', 'you', 'love', 'at', 'prices', 'you', 'can', 'not', 'resist']","[13916, 13916, 7246, 13916, 9433, 13916, 1717, 13916, 10258, 0, 0, 0, 0, 0, 0, 0]"
213,Friendliest car store on the planet,"['Friendliest', 'car', 'store', 'on', 'the', 'planet']","[13916, 1767, 11874, 13916, 13916, 9112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
214,The world's largest classic car company,"['The', ""world's"", 'largest', 'classic', 'car', 'company']","[13916, 13916, 13916, 2158, 1767, 2415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
215,We share your passion,"['We', 'share', 'your', 'passion']","[13916, 11009, 13916, 8760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
216,Nobody beats Brondes,"['Nobody', 'beats', 'Brondes']","[13916, 1007, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
217,All roads lead to Hilton,"['All', 'roads', 'lead', 'to', 'Hilton']","[13916, 10438, 6980, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
218,Where the sale never ends,"['Where', 'the', 'sale', 'never', 'ends']","[13916, 13916, 10607, 13916, 4087, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
219,You know where we are,"['You', 'know', 'where', 'we', 'are']","[13916, 6860, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
220,It's all good at Applewood,"[""It's"", 'all', 'good', 'at', 'Applewood']","[13916, 13916, 5280, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
221,Customers for life,"['Customers', 'for', 'life']","[13916, 13916, 7073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
222,Service you expect at a price you wouldn t,"['Service', 'you', 'expect', 'at', 'a', 'price', 'you', 'wouldn', 't']","[10958, 13916, 4336, 13916, 13916, 9433, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0]"
223,We let our prices do the talking,"['We', 'let', 'our', 'prices', 'do', 'the', 'talking']","[13916, 7040, 13916, 9433, 3681, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
224,Haggle free buying Worry free ownership,"['Haggle', 'free', 'buying', 'Worry', 'free', 'ownership']","[5527, 4930, 13916, 13826, 4930, 8611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
225,You can count on us,"['You', 'can', 'count', 'on', 'us']","[13916, 1717, 2792, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
226,We'll make you a great deal today,"[""We'll"", 'make', 'you', 'a', 'great', 'deal', 'today']","[13916, 7366, 13916, 13916, 5375, 3117, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
227,For the love of cars,"['For', 'the', 'love', 'of', 'cars']","[13916, 13916, 7246, 13916, 1767, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
228,A great deal better,"['A', 'great', 'deal', 'better']","[13916, 5375, 3117, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
229,Where you save a fistfull of dollars,"['Where', 'you', 'save', 'a', 'fistfull', 'of', 'dollars']","[13916, 13916, 10681, 13916, 13916, 13916, 3706, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
230,We don't sell cars We help people buy them,"['We', ""don't"", 'sell', 'cars', 'We', 'help', 'people', 'buy', 'them']","[13916, 13916, 10894, 1767, 13916, 5734, 8886, 1655, 13916, 0, 0, 0, 0, 0, 0, 0]"
231,Used cars so good we've put our name to them,"['Used', 'cars', 'so', 'good', ""we've"", 'put', 'our', 'name', 'to', 'them']","[13916, 1767, 13916, 5280, 13916, 9721, 13916, 8062, 13916, 13916, 0, 0, 0, 0, 0, 0]"
232,Montero Sport Perfect for damaged surfaces,"['Montero', 'Sport', 'Perfect', 'for', 'damaged', 'surfaces']","[13916, 11640, 8902, 13916, 13916, 12128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
233,Mazda Fighter Men only,"['Mazda', 'Fighter', 'Men', 'only']","[13916, 4610, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
234,Designed to save lives,"['Designed', 'to', 'save', 'lives']","[13916, 13916, 10681, 7073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
235,Volkswagen Golf One of the greatest pleasures you can have,"['Volkswagen', 'Golf', 'One', 'of', 'the', 'greatest', 'pleasures', 'you', 'can', 'have']","[13916, 5272, 8418, 13916, 13916, 13916, 9157, 13916, 1717, 5642, 0, 0, 0, 0, 0, 0]"
236,Volkswagen GTI For boys who were always men,"['Volkswagen', 'GTI', 'For', 'boys', 'who', 'were', 'always', 'men']","[13916, 13916, 13916, 1414, 13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0]"
237,Audu S line More horses fewer seconds,"['Audu', 'S', 'line', 'More', 'horses', 'fewer', 'seconds']","[13916, 13916, 7117, 13916, 5924, 13916, 10846, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
238,Protection on all sides,"['Protection', 'on', 'all', 'sides']","[9592, 13916, 13916, 11143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
239,Beyond rational,"['Beyond', 'rational']","[13916, 9879, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
240,Renault Twingo 20 km per liter 800 km per tank,"['Renault', 'Twingo', '20', 'km', 'per', 'liter', '800', 'km', 'per', 'tank']","[13916, 13916, 13916, 13916, 13916, 7149, 13916, 13916, 13916, 12302, 0, 0, 0, 0, 0, 0]"
241,Nissan Primera Designed to improve your performance,"['Nissan', 'Primera', 'Designed', 'to', 'improve', 'your', 'performance']","[13916, 13916, 13916, 13916, 6199, 13916, 8907, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
242,Terrano II by Nissan airlines,"['Terrano', 'II', 'by', 'Nissan', 'airlines']","[13916, 13916, 13916, 13916, 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
243,The Micra Ask before you borrow it,"['The', 'Micra', 'Ask', 'before', 'you', 'borrow', 'it']","[13916, 13916, 636, 13916, 13916, 1378, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
244,The most reliable member of your family,"['The', 'most', 'reliable', 'member', 'of', 'your', 'family']","[13916, 13916, 10122, 7602, 13916, 13916, 4461, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
245,Fiat Seicento Be small again,"['Fiat', 'Seicento', 'Be', 'small', 'again']","[13916, 13916, 987, 11343, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
246,Hand built by robots,"['Hand', 'built', 'by', 'robots']","[5562, 13916, 13916, 10453, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
247,Put your money on the Favorit,"['Put', 'your', 'money', 'on', 'the', 'Favorit']","[9721, 13916, 7854, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
248,Peugeot 607 More feline than ever,"['Peugeot', '607', 'More', 'feline', 'than', 'ever']","[13916, 13916, 13916, 4547, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
249,Buick Park Avenue The Power Of Understatement,"['Buick', 'Park', 'Avenue', 'The', 'Power', 'Of', 'Understatement']","[13916, 8730, 775, 13916, 9325, 13916, 13042, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
250,You re due Definitely due,"['You', 're', 'due', 'Definitely', 'due']","[13916, 13916, 3853, 13916, 3853, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
251,Following your own rules Audi A6,"['Following', 'your', 'own', 'rules', 'Audi', 'A6']","[13916, 13916, 13916, 10538, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
252,The New Jag Generation,"['The', 'New', 'Jag', 'Generation']","[13916, 8158, 13916, 5132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
253,Volkswagen Polo Built to protect,"['Volkswagen', 'Polo', 'Built', 'to', 'protect']","[13916, 9225, 13916, 13916, 9590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
254,Think Small,"['Think', 'Small']","[12495, 11343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
255,Renault Clio Size matters,"['Renault', 'Clio', 'Size', 'matters']","[13916, 13916, 11228, 7529, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
256,Is it Love,"['Is', 'it', 'Love']","[13916, 13916, 7246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
257,It's a miracle but we've made it,"[""It's"", 'a', 'miracle', 'but', ""we've"", 'made', 'it']","[13916, 13916, 7750, 13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
258,Range Rover It's how the smooth take the rough,"['Range', 'Rover', ""It's"", 'how', 'the', 'smooth', 'take', 'the', 'rough']","[9854, 13916, 13916, 13916, 13916, 11366, 12275, 13916, 10500, 0, 0, 0, 0, 0, 0, 0]"
259,KIA cee'd Responds to your life,"['KIA', ""cee'd"", 'Responds', 'to', 'your', 'life']","[13916, 13916, 13916, 13916, 13916, 7073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
260,Seat Ibiza Different rituals same spirit,"['Seat', 'Ibiza', 'Different', 'rituals', 'same', 'spirit']","[10838, 13916, 3448, 10428, 13916, 11608, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
261,Vauxhall Put the fun back into driving,"['Vauxhall', 'Put', 'the', 'fun', 'back', 'into', 'driving']","[13916, 9721, 13916, 5008, 811, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
262,Toyota Yaris Treat it with respect,"['Toyota', 'Yaris', 'Treat', 'it', 'with', 'respect']","[13916, 13916, 12786, 13916, 13916, 10269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
263,Toyota Corolla A car to be proud of,"['Toyota', 'Corolla', 'A', 'car', 'to', 'be', 'proud', 'of']","[13916, 13916, 13916, 1767, 13916, 987, 9601, 13916, 0, 0, 0, 0, 0, 0, 0, 0]"
264,The 7 seat Verso Have kids Keep your style,"['The', '7', 'seat', 'Verso', 'Have', 'kids', 'Keep', 'your', 'style']","[13916, 13916, 10838, 13916, 5642, 6803, 6780, 13916, 11970, 0, 0, 0, 0, 0, 0, 0]"
265,Prius Mean but green,"['Prius', 'Mean', 'but', 'green']","[13916, 7550, 13916, 5385, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
266,Built Ford tough,"['Built', 'Ford', 'tough']","[13916, 4832, 12670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
267,Love the road,"['Love', 'the', 'road']","[7246, 13916, 10438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
268,Hertz Rent wisely,"['Hertz', 'Rent', 'wisely']","[5766, 10173, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
269,Hertz Fun collection,"['Hertz', 'Fun', 'collection']","[5766, 5008, 2322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
270,Small world Small rates,"['Small', 'world', 'Small', 'rates']","[11343, 13820, 11343, 9875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
271,Budget Get out of the ordinary,"['Budget', 'Get', 'out', 'of', 'the', 'ordinary']","[1557, 5167, 13916, 13916, 13916, 8479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
272,All the difference in the world,"['All', 'the', 'difference', 'in', 'the', 'world']","[13916, 13916, 3447, 13916, 13916, 13820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
273,The natural choice,"['The', 'natural', 'choice']","[13916, 8085, 2061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
274,When you re ready we re ready,"['When', 'you', 're', 'ready', 'we', 're', 'ready']","[13916, 13916, 13916, 9905, 13916, 13916, 9905, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
275,Avis It's your space,"['Avis', ""It's"", 'your', 'space']","[13916, 13916, 13916, 11524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
276,We re trying harder than ever,"['We', 're', 'trying', 'harder', 'than', 'ever']","[13916, 13916, 13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
277,Avis We try harder,"['Avis', 'We', 'try', 'harder']","[13916, 13916, 12868, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
278,We re number two We try harder,"['We', 're', 'number', 'two', 'We', 'try', 'harder']","[13916, 13916, 8292, 12940, 13916, 12868, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
279,Europcar Moving your way,"['Europcar', 'Moving', 'your', 'way']","[13916, 13916, 13916, 13601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
280,Driven by you,"['Driven', 'by', 'you']","[13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
281,You rent a lot more than a car,"['You', 'rent', 'a', 'lot', 'more', 'than', 'a', 'car']","[13916, 10173, 13916, 13916, 13916, 13916, 13916, 1767, 0, 0, 0, 0, 0, 0, 0, 0]"
282,The worldwide welcome,"['The', 'worldwide', 'welcome']","[13916, 13916, 13641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
283,You re better off driving our way,"['You', 're', 'better', 'off', 'driving', 'our', 'way']","[13916, 13916, 13916, 13916, 13916, 13916, 13601, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
284,Guy Salmon Prestige rental,"['Guy', 'Salmon', 'Prestige', 'rental']","[5512, 10612, 9414, 10174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
285,Alamo Drive happy,"['Alamo', 'Drive', 'happy']","[13916, 3814, 5596, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
286,It comes with the territory,"['It', 'comes', 'with', 'the', 'territory']","[13916, 2355, 13916, 13916, 12444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
287,If service counts count on us,"['If', 'service', 'counts', 'count', 'on', 'us']","[13916, 10958, 2792, 2792, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
288,Thrifty Saves you money,"['Thrifty', 'Saves', 'you', 'money']","[13916, 13916, 13916, 7854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
289,How can we help today,"['How', 'can', 'we', 'help', 'today']","[13916, 1717, 13916, 5734, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
290,Now that's Thrifty thinking,"['Now', ""that's"", 'Thrifty', 'thinking']","[13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
291,Home of our lowest rates,"['Home', 'of', 'our', 'lowest', 'rates']","[5856, 13916, 13916, 13916, 9875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
292,The driving force of the 90 s,"['The', 'driving', 'force', 'of', 'the', '90', 's']","[13916, 13916, 4828, 13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
293,Sunny Cars Rent a smile,"['Sunny', 'Cars', 'Rent', 'a', 'smile']","[12078, 13916, 10173, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
294,Flexible Accessible Affordable,"['Flexible', 'Accessible', 'Affordable']","[4736, 59, 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
295,Pick Enterprise We'll pick you up,"['Pick', 'Enterprise', ""We'll"", 'pick', 'you', 'up']","[9018, 4139, 13916, 9018, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
296,Get lost with County,"['Get', 'lost', 'with', 'County']","[5167, 7235, 13916, 2805, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
